exp,nu,noise_rel,tau,rmse_fwd,rmse_bwd,growth_ratio,skill,loss_rate,capacity,z_tau,verdict
exp1,0.0005,0.01,4.9998525372318925,1.8308916144557285e-13,4.470402938327639e+51,4.470402938327639e+63,0.0,1489.1400812332688,5524,1.347842290631402,Supported
exp1,0.0005,0.02,0.49974652130855146,1.8118667401404778e-14,300.79465648474377,300794656484743.75,0.042722664735698766,659.8968743047469,5524,0.057149173987523186,Supported
exp1,0.0005,0.02,0.7368873865154758,2.6745706903953796e-14,87528.12882584643,8.752812882584643e+16,0.042722664735698766,681.1083997290613,5524,0.0869764075165303,Supported
exp1,0.0005,0.02,0.9740282517223996,3.527674722906541e-14,29419881.78459895,2.941988178459895e+19,0.042722664735698766,703.649305833658,5524,0.11877141321747349,Supported
exp1,0.0005,0.02,1.210373342213864,4.391679987401174e-14,10522651832.422861,1.0522651832422861e+22,0.042722664735698766,727.4626623361967,5524,0.15258581593777398,Supported
exp1,0.0005,0.02,1.4475142074207885,5.2889106957458277e-14,4039078977142.48,4.03907897714248e+24,0.042722664735698766,752.7492470887267,5524,0.1888240339669017,Supported
exp1,0.0005,0.02,1.683859297912253,6.141406852395034e-14,1571944393400804.0,1.571944393400804e+27,0.04055032585083273,779.4181999053932,5524,0.22795276884153512,Supported
exp1,0.0005,0.02,1.9210001631191769,7.002909484902712e-14,6.391895563047628e+17,6.391895563047627e+29,0.0,807.792503119291,5524,0.28091410757758983,Supported
exp1,0.0005,0.02,2.158141028326101,7.87734258074483e-14,2.6440689369449205e+20,2.6440689369449205e+32,0.0,838.0111651484661,5524,0.32739795034436364,Supported
exp1,0.0005,0.02,2.3944861188175657,8.755891767234539e-14,1.085308556029298e+23,1.085308556029298e+35,0.0,870.2701169277909,5524,0.37723564710451396,Supported
exp1,0.0005,0.02,2.6316269840244897,9.620087884612171e-14,4.588075822171006e+25,4.588075822171006e+37,0.0,905.1481660985764,5524,0.43121150225294974,Supported
exp1,0.0005,0.02,2.8687678492314137,1.0492537782453953e-13,1.9528048330203789e+28,1.952804833020379e+40,0.0,942.9059937244925,5524,0.48967748002252376,Supported
exp1,0.0005,0.02,3.1051129397228783,1.1334030332941739e-13,8.185081205512098e+30,8.185081205512099e+42,0.0,983.7255188815394,5524,0.552965032189477,Supported
exp1,0.0005,0.02,3.3422538049298023,1.2226039080242572e-13,3.513935464770683e+33,3.5139354647706826e+45,0.0,1028.1720320691772,5524,0.6220875970864617,Supported
exp1,0.0005,0.02,3.578598895421267,1.3096455692790459e-13,1.4820100340849898e+36,1.48201003408499e+48,0.0,1076.2729071629149,5524,0.6972391449574661,Supported
exp1,0.0005,0.02,3.815739760628191,1.3964657805489017e-13,6.390216068250183e+38,6.390216068250183e+50,0.0,1128.8222896970517,5524,0.7797415085952922,Supported
exp1,0.0005,0.02,4.052880625835115,1.482860559696847e-13,2.758417021712563e+41,2.758417021712563e+53,0.0,1186.3646139360199,5524,0.8704189281313633,Supported
exp1,0.0005,0.02,4.28922571632658,1.5700276435553428e-13,1.1673406016868654e+44,1.1673406016868654e+56,0.0,1249.6238222297807,5524,0.9702966390373443,Supported
exp1,0.0005,0.02,4.5263665815335035,1.658450526087051e-13,5.042029153425389e+46,5.042029153425389e+58,0.0,1320.2378691582423,5524,1.0818031445751033,Supported
exp1,0.0005,0.02,4.763507446740428,1.7459952338575038e-13,2.1769559205838406e+49,2.1769559205838407e+61,0.0,1399.5533437164904,5524,1.2068759549065837,Supported
